zero_index,t_value,rank,prime_p,prime_q,impact_score,phase_cos,pair_str
1,14.134725141734695,1,2,23,-0.04345068903485852,-0.999365847801746,"(2, 23)"
1,14.134725141734695,2,3,23,-0.025205402010675854,-0.869586369368317,"(3, 23)"
1,14.134725141734695,3,2,37,-0.02488107391605566,-0.9205997348940593,"(2, 37)"
1,14.134725141734695,4,7,13,-0.01716074419539932,-0.780813860890669,"(7, 13)"
1,14.134725141734695,5,5,23,-0.015874398096464754,-0.9127778905467234,"(5, 23)"
2,21.022039638771556,1,2,3,-0.20692267140624593,-0.6207680142187378,"(2, 3)"
2,21.022039638771556,2,2,19,-0.051552381973936065,-0.9794952575047853,"(2, 19)"
2,21.022039638771556,3,3,11,-0.03472126867326623,-0.5729009331088928,"(3, 11)"
2,21.022039638771556,4,3,5,-0.03388783140464929,-0.25415873553486973,"(3, 5)"
2,21.022039638771556,5,2,11,-0.026085678400219876,-0.2869424624024186,"(2, 11)"
3,25.01085758014569,1,2,3,-0.25142391439436435,-0.7542717431830931,"(2, 3)"
3,25.01085758014569,2,2,5,-0.12019619704395167,-0.6009809852197583,"(2, 5)"
3,25.01085758014569,3,2,13,-0.07329126157034885,-0.9527864004145349,"(2, 13)"
3,25.01085758014569,4,3,7,-0.06638700340148593,-0.6970635357156023,"(3, 7)"
3,25.01085758014569,5,2,17,-0.05841575568916649,-0.9930678467158303,"(2, 17)"
4,30.424876125859512,1,2,5,-0.1844989624363257,-0.9224948121816283,"(2, 5)"
4,30.424876125859512,2,3,5,-0.1314970219523953,-0.9862276646429647,"(3, 5)"
4,30.424876125859512,3,5,7,-0.03930261672786221,-0.6877957927375886,"(5, 7)"
4,30.424876125859512,4,2,17,-0.03828060632226181,-0.6507703074784508,"(2, 17)"
4,30.424876125859512,5,3,17,-0.0316398575345515,-0.8068163671310632,"(3, 17)"
5,32.93506158773919,1,2,7,-0.13049242836498745,-0.9134469985549122,"(2, 7)"
5,32.93506158773919,2,3,7,-0.08884372508094014,-0.9328591133498716,"(3, 7)"
5,32.93506158773919,3,3,5,-0.058557390894964395,-0.439180431712233,"(3, 5)"
5,32.93506158773919,4,2,31,-0.02161614966810539,-0.6701006397112672,"(2, 31)"
5,32.93506158773919,5,2,47,-0.020304522032729522,-0.9543125355382875,"(2, 47)"
6,37.586178158825675,1,2,3,-0.29747880725682213,-0.8924364217704664,"(2, 3)"
6,37.586178158825675,2,2,5,-0.19861738498234316,-0.9930869249117158,"(2, 5)"
6,37.586178158825675,3,2,7,-0.1427576823160667,-0.999303776212467,"(2, 7)"
6,37.586178158825675,4,2,19,-0.05152365701828476,-0.9789494833474105,"(2, 19)"
6,37.586178158825675,5,2,23,-0.033468586426924934,-0.7697774878192736,"(2, 23)"
7,40.9187190121475,1,2,3,-0.21157349990656132,-0.634720499719684,"(2, 3)"
7,40.9187190121475,2,3,7,-0.09463258425256289,-0.9936421346519104,"(3, 7)"
7,40.9187190121475,3,3,5,-0.061804356195537306,-0.4635326714665298,"(3, 5)"
7,40.9187190121475,4,3,11,-0.05883887930972694,-0.9708415086104946,"(3, 11)"
7,40.9187190121475,5,3,13,-0.048831763481203605,-0.9522193878834704,"(3, 13)"
8,43.327073280915,1,3,5,-0.13200204589478284,-0.9900153442108713,"(3, 5)"
8,43.327073280915,2,2,7,-0.09195661376478687,-0.6436962963535081,"(2, 7)"
8,43.327073280915,3,2,5,-0.08342642559873042,-0.4171321279936521,"(2, 5)"
8,43.327073280915,4,2,19,-0.05202065779684642,-0.988392498140082,"(2, 19)"
8,43.327073280915,5,5,11,-0.03354993141216062,-0.9226231138344172,"(5, 11)"
9,48.00515088116716,1,2,7,-0.12870884948145667,-0.9009619463701968,"(2, 7)"
9,48.00515088116716,2,3,7,-0.09392824052958038,-0.986246525560594,"(3, 7)"
9,48.00515088116716,3,5,7,-0.05159158721310737,-0.9028527762293791,"(5, 7)"
9,48.00515088116716,4,2,17,-0.03477134359897416,-0.5911128411825607,"(2, 17)"
9,48.00515088116716,5,2,29,-0.0313092097796707,-0.9079670836104504,"(2, 29)"
10,49.7738324776723,1,2,11,-0.09087127560468478,-0.9995840316515325,"(2, 11)"
10,49.7738324776723,2,3,13,-0.03826243859659569,-0.746117552633616,"(3, 13)"
10,49.7738324776723,3,5,7,-0.028949071082201305,-0.5066087439385228,"(5, 7)"
10,49.7738324776723,4,5,13,-0.027896210016767536,-0.9066268255449449,"(5, 13)"
10,49.7738324776723,5,3,19,-0.02524641098908467,-0.7195227131889131,"(3, 19)"
11,52.970321477714464,1,2,3,-0.29033836510711486,-0.8710150953213447,"(2, 3)"
11,52.970321477714464,2,2,7,-0.13235619709594945,-0.9264933796716461,"(2, 7)"
11,52.970321477714464,3,2,11,-0.06300143097376604,-0.6930157407114264,"(2, 11)"
11,52.970321477714464,4,3,5,-0.046352877422321886,-0.34764658066741416,"(3, 5)"
11,52.970321477714464,5,2,23,-0.03668374420109002,-0.8437261166250704,"(2, 23)"
12,56.44624769706339,1,2,3,-0.20828895027623912,-0.6248668508287174,"(2, 3)"
