zero_idx,true_t,rs_t,rs_err,rel_err_pct,pair_str,phase_cos,impact_score,p,q
1,14.134725141734695,14.137197169458043,0.0024720277233480914,0.017489039925149264,"(2, 23)",-0.999562614847739,-0.04345924412381474,2,23
2,21.022039638771556,21.02437693859011,0.002337299818552907,0.011118330374766098,"(2, 3)",-0.6215107216712803,-0.20717024055709343,2,3
3,25.01085758014569,25.018401507956114,0.0075439278104241225,0.030162611522816,"(2, 3)",-0.7522599251051152,-0.25075330836837173,2,3
4,30.424876125859512,30.427645882399464,0.0027697565399513735,0.009103591838775734,"(2, 5)",-0.9234714945971588,-0.1846942989194318,2,5
5,32.93506158773919,32.93256179764311,0.002499790096081256,0.007590057451150655,"(2, 7)",-0.9147169641685782,-0.13067385202408258,2,7
6,37.586178158825675,37.58686192242848,0.0006837636028080851,0.0018191889580226697,"(2, 3)",-0.8925614717519647,-0.2975204905839882,2,3
7,40.9187190121475,40.918839136507565,0.0001201243600661428,0.00029356823225693256,"(2, 3)",-0.6346828616219236,-0.2115609538739745,2,3
8,43.327073280915,43.32649021811661,0.000583062798391154,0.0013457239417276436,"(3, 5)",-0.9900572841967179,-0.1320076378928957,3,5
9,48.00515088116716,48.006380346735384,0.0012294655682225653,0.002561111767497632,"(2, 7)",-0.9002925755301154,-0.12861322507573078,2,7
10,49.7738324776723,49.77264064886379,0.0011918288085084328,0.002394488728676995,"(2, 11)",-0.9996405652524184,-0.09087641502294713,2,11
20,77.1448400688748,77.14470653103866,0.0001335378361346784,0.00017310015292721587,"(2, 7)",-0.7348568721796579,-0.10497955316852255,2,7
40,122.94682929355258,122.94719040014408,0.0003611065914981282,0.0002937095601188187,"(2, 7)",-0.9963345210788292,-0.14233350301126133,2,7
60,163.030709687182,163.0307193734447,9.686262700370207e-06,5.941373081768393e-06,"(2, 3)",-0.9915848842296237,-0.3305282947432079,2,3
80,201.2647519437038,201.26490771171024,0.00015576800643657407,7.739457850033486e-05,"(2, 5)",-0.5923716247337564,-0.11847432494675128,2,5
100,236.5242296658162,236.52432712297184,9.745715564690727e-05,4.120387826000066e-05,"(2, 5)",-0.9989946632264821,-0.19979893264529644,2,5
